iso,year,ly,v2x_polyarchy,v2x_polyarchy_sd,v2xlg_legcon,v2xlg_legcon_sd,v2x_jucon,v2x_jucon_sd
ZAF,1961,8.502891406705377,0.16,0.02049999999999999,0.332,0.1345,0.378,0.129
ZAF,1962,8.53050420547591,0.167,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1963,8.574329382787047,0.167,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1964,8.612321536507814,0.163,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1965,8.643473357326567,0.163,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1966,8.659039915644474,0.164,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1967,8.698347400458186,0.164,0.02099999999999999,0.332,0.1345,0.378,0.129
ZAF,1968,8.713910628493924,0.164,0.02099999999999999,0.332,0.1345,0.378,0.129
ZAF,1969,8.746716349694486,0.164,0.02099999999999999,0.332,0.1345,0.378,0.129
ZAF,1970,8.771525284186465,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1971,8.79346036105272,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1972,8.787220328629298,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1973,8.803123730829212,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1974,8.832441791585824,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1975,8.82585367025321,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1976,8.82497196556714,0.165,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1977,8.798303718484979,0.163,0.021000000000000005,0.332,0.1345,0.378,0.129
ZAF,1978,8.802823159741887,0.161,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1979,8.816705015621595,0.161,0.020500000000000004,0.332,0.1345,0.378,0.129
ZAF,1980,8.853379672927634,0.16,0.02049999999999999,0.332,0.1345,0.378,0.129
ZAF,1981,8.87360810154911,0.176,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1982,8.837971491357209,0.176,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1983,8.787830829258759,0.176,0.020000000000000004,0.332,0.1345,0.378,0.129
ZAF,1984,8.805674944038582,0.177,0.020000000000000004,0.582,0.1495,0.378,0.129
ZAF,1985,8.76170676846664,0.178,0.020000000000000004,0.582,0.1495,0.378,0.129
ZAF,1986,8.738094230177667,0.178,0.020000000000000004,0.582,0.1495,0.378,0.129
ZAF,1987,8.734238184268579,0.176,0.020500000000000004,0.582,0.1495,0.378,0.129
ZAF,1988,8.751316246773456,0.175,0.020500000000000004,0.582,0.1495,0.378,0.129
ZAF,1989,8.749256840105007,0.186,0.022499999999999992,0.582,0.1495,0.378,0.129
ZAF,1990,8.717845704894916,0.224,0.023999999999999994,0.582,0.1495,0.38,0.1305
ZAF,1991,8.705314662807755,0.254,0.02700000000000001,0.582,0.1495,0.38,0.1305
ZAF,1992,8.683043929271038,0.254,0.02700000000000001,0.582,0.1495,0.38,0.1305
ZAF,1993,8.693817130904996,0.264,0.024999999999999994,0.656,0.136,0.38,0.1305
ZAF,1994,8.727935945695945,0.392,0.026999999999999996,0.682,0.1295,0.677,0.12100000000000005
ZAF,1995,8.765057155909988,0.657,0.0655,0.682,0.1295,0.846,0.07600000000000001
ZAF,1996,8.813704803502958,0.663,0.0655,0.83,0.08699999999999997,0.856,0.07399999999999995
ZAF,1997,8.846564792371824,0.663,0.0655,0.83,0.08699999999999997,0.856,0.07399999999999995
ZAF,1998,8.857130204475592,0.668,0.067,0.83,0.08699999999999997,0.856,0.07399999999999995
ZAF,1999,8.886586919611085,0.709,0.064,0.83,0.08699999999999997,0.856,0.07399999999999995
ZAF,2000,8.933634915448032,0.743,0.0615,0.83,0.08699999999999997,0.856,0.07399999999999995
ZAF,2001,8.966946318834967,0.743,0.0615,0.83,0.08699999999999997,0.856,0.07399999999999995
