uid,tid,ft,y
49,12,12,8.778746604919434
50,1,,8.810420036315918
50,2,,0.0
50,3,,0.0
50,4,,7.1400980949401855
50,5,,6.431053638458252
50,6,,5.763067245483398
50,7,,7.037256240844727
50,8,,6.886573791503906
50,9,,7.024381637573242
50,10,,8.03754711151123
50,11,,9.492372512817383
50,12,,7.353370189666748
51,1,,8.913917541503906
51,2,,9.485020637512207
51,3,,9.58344841003418
51,4,,8.931377410888672
51,5,,7.578843593597412
51,6,,11.76127815246582
51,7,,11.249869346618652
51,8,,8.891525268554688
51,9,,9.178411483764648
51,10,,9.795964241027832
51,11,,9.470364570617676
51,12,,9.637184143066406
52,1,,0.0
52,2,,0.0
52,3,,7.095367431640625
52,4,,8.202223777770996
52,5,,8.483907699584961
52,6,,8.194526672363281
52,7,,7.673583507537842
52,8,,7.549267768859863
52,9,,7.483304977416992
52,10,,8.747041702270508
52,11,,11.47441291809082
52,12,,8.01872730255127
53,1,12,11.471304893493652
53,2,12,11.549365997314453
53,3,12,11.49528694152832
53,4,12,11.522491455078125
53,5,12,11.392339706420898
53,6,12,11.326469421386719
53,7,12,11.513484954833984
53,8,12,11.672162055969238
53,9,12,11.477160453796387
53,10,12,11.553701400756836
53,11,12,11.59068775177002
53,12,12,11.652215003967285
54,1,10,9.725570678710938
54,2,10,10.503747940063477
54,3,10,10.182329177856445
54,4,10,10.972146987915039
54,5,10,11.269997596740723
54,6,10,11.512386322021484
54,7,10,11.731971740722656
54,8,10,11.879173278808594
54,9,10,12.747675895690918
54,10,10,12.975659370422363
54,11,10,12.841503143310547
54,12,10,11.59632396697998
55,1,12,0.0
55,2,12,0.0
55,3,12,0.0
55,4,12,0.0
55,5,12,0.0
55,6,12,7.068968772888184
55,7,12,0.0
55,8,12,7.197695255279541
55,9,12,6.866318225860596
55,10,12,5.41372537612915
55,11,12,6.116888523101807
55,12,12,7.148070335388184
56,1,12,10.09538745880127
56,2,12,10.060193061828613
56,3,12,9.789876937866211
56,4,12,9.76657485961914
56,5,12,9.690637588500977
56,6,12,9.380807876586914
56,7,12,10.15434455871582
56,8,12,9.619193077087402
56,9,12,9.11375904083252
56,10,12,9.413427352905273
56,11,12,8.429962158203125
56,12,12,10.908995628356934
57,1,8,11.501773834228516
57,2,8,12.312078475952148
57,3,8,8.784778594970703
57,4,8,11.664663314819336
57,5,8,12.5144681930542
57,6,8,9.801913261413574
57,7,8,12.325496673583984
57,8,8,12.613938331604004
57,9,8,13.124357223510742
57,10,8,11.517970085144043
57,11,8,12.364255905151367
57,12,8,12.093339920043945
58,1,7,17.42863655090332
58,2,7,17.64642906188965
58,3,7,17.807287216186523
58,4,7,18.400821685791016
58,5,7,18.155729293823242
58,6,7,18.211103439331055
58,7,7,18.054109573364258
58,8,7,18.034954071044922
58,9,7,18.343847274780273
58,10,7,18.56382179260254
58,11,7,18.748390197753906
58,12,7,18.90626335144043
59,1,2,10.504240989685059
59,2,2,11.402605056762695
59,3,2,11.314224243164062
59,4,2,11.456425666809082
59,5,2,11.01992130279541
59,6,2,10.276690483093262
59,7,2,10.989580154418945
59,8,2,10.982542991638184
59,9,2,6.749187469482422
59,10,2,4.528173446655273
59,11,2,9.168704986572266
59,12,2,9.360816955566406
60,1,11,11.12786865234375
60,2,11,11.244427680969238
60,3,11,11.503547668457031
60,4,11,10.627314567565918
60,5,11,11.36892318725586
60,6,11,12.133633613586426
60,7,11,12.132274627685547
60,8,11,12.215203285217285
60,9,11,12.463738441467285
60,10,11,12.934582710266113
60,11,11,13.01563549041748
60,12,11,12.648336410522461
61,1,12,9.923784255981445
61,2,12,9.365288734436035
61,3,12,10.120402336120605
61,4,12,8.583849906921387
61,5,12,8.933969497680664
61,6,12,9.536005973815918
61,7,12,9.147968292236328
61,8,12,8.647220611572266
61,9,12,8.076550483703613
61,10,12,7.627878665924072
61,11,12,7.391762733459473
61,12,12,9.475630760192871
62,1,,7.02015495300293
62,2,,6.975721836090088
62,3,,9.332846641540527
62,4,,0.0
62,5,,0.0
62,6,,0.0
62,7,,8.174507141113281
62,8,,10.565251350402832
62,9,,9.82027530670166
62,10,,9.890264511108398
62,11,,9.955562591552734
62,12,,10.488462448120117
63,1,11,5.562831401824951
63,2,11,0.6750594973564148
63,3,11,10.647178649902344
63,4,11,4.509435653686523
63,5,11,12.269404411315918
63,6,11,0.0
63,7,11,5.301274299621582
63,8,11,5.027702808380127
63,9,11,0.0
63,10,11,7.720566272735596
63,11,11,7.9851861000061035
63,12,11,10.28293514251709
64,1,11,11.114453315734863
64,2,11,8.26161003112793
64,3,11,9.770282745361328
64,4,11,11.3980712890625
64,5,11,12.763075828552246
64,6,11,10.501164436340332
64,7,11,9.385819435119629
64,8,11,9.523093223571777
64,9,11,10.348564147949219
64,10,11,11.514610290527344
64,11,11,10.94487190246582
64,12,11,11.018277168273926
65,1,12,6.459668159484863
65,2,12,0.0
65,3,12,0.0
65,4,12,0.0
65,5,12,7.66472864151001
65,6,12,0.0
65,7,12,7.202409267425537
65,8,12,0.0
65,9,12,0.0
65,10,12,11.524455070495605
65,11,12,7.945346355438232
65,12,12,9.13684368133545
66,1,7,11.79586410522461
66,2,7,11.062335968017578
66,3,7,10.817001342773438
66,4,7,11.586518287658691
66,5,7,11.49981689453125
66,6,7,12.209159851074219
66,7,7,12.274796485900879
66,8,7,12.024958610534668
66,9,7,11.088232040405273
66,10,7,12.571486473083496
66,11,7,12.093825340270996
66,12,7,12.312772750854492
67,1,11,5.409319877624512
67,2,11,9.857470512390137
67,3,11,9.560929298400879
67,4,11,9.241360664367676
67,5,11,9.428898811340332
67,6,11,9.641996383666992
67,7,11,9.82878303527832
67,8,11,9.41456127166748
67,9,11,8.821868896484375
67,10,11,9.573375701904297
67,11,11,12.364054679870605
67,12,11,10.434853553771973
68,1,10,6.625417709350586
68,2,10,10.73296070098877
68,3,10,10.215938568115234
68,4,10,11.028129577636719
68,5,10,10.589061737060547
68,6,10,10.798757553100586
68,7,10,10.133475303649902
68,8,10,10.371871948242188
68,9,10,10.808582305908203
68,10,10,10.109244346618652
68,11,10,11.238174438476562
68,12,10,10.434344291687012
